[INFO] 2015-01-16 11:40:24.87	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/deploy/release.conf
[INFO] 2015-01-16 11:40:24.97	-	config -> {"DIR_CONFIG":"D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/deploy/","DIR_LOGGER":"D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/deploy/20150116.114024087.txt","DIR_TEMPORARY":"D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/deploy/20150116.114024087/","DIR_WEBROOT":"D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/","DIR_OUTPUT_STATIC":"D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/r/","DIR_SOURCE_TP":"D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/","DIR_OUTPUT_TP":"D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/tpl/","NEJ_DIR":"D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/","NEJ_PLATFORM":"wk","ALIAS_DICTIONARY":{"jslib":"/src/javascript/lib/nej/src/","jspro":"/src/javascript/","jscnf":"pro=/src/javascript/&p=wk"},"FILE_SUFFIXE":{},"DM_STATIC":"/","OBF_LEVEL":0,"OBF_MAX_CS_INLINE_SIZE":100,"OBF_MAX_JS_INLINE_SIZE":100,"CORE_LIST_CS":["/src/css/base.css","/src/css/grid.css","/src/css/unit.css","/src/css/module.css"],"X_NOCOMPRESS":true,"X_NOPARSE_FLAG":3,"X_SCRIPT_WRAPPER":"<#noparse>%s</#noparse>","DIR_SOURCE":"","DIR_OUTPUT":"D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/","DIR_SOURCE_SUB":[""],"DIR_SOURCE_TP_SUB":[""],"DIR_STATIC":"D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/res/","ALIAS_START_TAG":"${","ALIAS_END_TAG":"}","ALIAS_REG":{},"MANIFEST_OUTPUT":"","MANIFEST_FILTER":"","MANIFEST_TEMPLATE":"CACHE MANIFEST\n#VERSION = #<VERSION>\n\nCACHE:\n#<CACHE_LIST>\n\nNETWORK:\n*\n\nFALLBACK:","FILE_FILTER":{},"FILE_CHARSET":"utf-8","RAND_VERSION":false,"STATIC_VERSION":false,"OPT_IMAGE_FLAG":false,"OPT_IMAGE_QUALITY":100,"X_NOCORE_STYLE":false,"X_NOCORE_SCRIPT":false,"X_NOT_CLEAR_TEMP":false,"X_AUTO_EXLINK_PATH":false,"X_MODULE_WRAPPER":"%s","X_RELEASE_MODE":"online","DM_STATIC_CS":"/","DM_STATIC_JS":"/","DM_STATIC_MF":"/","DM_STATIC_MR":"","DIR_STATIC_REG":{},"OBF_NAME_BAGS":"D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/deploy/names.json","OBF_COMPATIBLE":true,"OBF_DROP_CONSOLE":false,"OBF_SOURCE_MAP":false,"CORE_LIST_JS":"","CORE_MASK_JS":"","CORE_MASK_CS":""}
[INFO] 2015-01-16 11:40:24.97	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/404.ftl
[DBUG] 2015-01-16 11:40:24.107	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/404.ftl -> undefined
[INFO] 2015-01-16 11:40:24.107	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/500.ftl
[DBUG] 2015-01-16 11:40:24.107	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/500.ftl -> undefined
[INFO] 2015-01-16 11:40:24.107	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/brand/list.ftl
[WARN] 2015-01-16 11:40:24.117	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.117	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/brand/list.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/brand/list.js"]
[INFO] 2015-01-16 11:40:24.117	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/brand/story.ftl
[WARN] 2015-01-16 11:40:24.117	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
